Serial,Event,Code Province,Province,Code District,District,Code Division,Division,Date (YMD),Rainfall_avg,Temp_Max,Temp_Max,Risk,Affected_Count,,Area,Damaged_houses,,OldAffected_Count
151701,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,10/15/2022,44.9,29.1,23,High,300,,"Ratnapura,Elapatha,Kuruvita",8,,300
1515101,FLOOD,lka010,Sabaragamuwa,lka009002,Ratnapura,lka009001028,Kuruvita,9/1/2022,42.1,29.6,23.1,High,649,,"Ratnapura,Kuruvita,Ayagama,Kiriella,Elapatha",4,,649
151392,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,8/1/2022,21.2,28.5,23.4,High,700,,"Elapatha,Kahawatta",15,,700
151082,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,5/13/2022,54.1,30.6,24.4,High,6740,,"Ratnapura,Elapatha,Ayagama,Pelmadulla,Kuruvita,Nivithigala,Kalawana",54,,6740
150587,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001018,Balangoda,3/31/2022,19.8,34.2,23,Low,27,,"Balangoda,Ratnapura",7,,27
149623,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,11/8/2021,22.8,28.6,22.6,Low,22,,"Elapatha,Ratnapura",0,,22
149611,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,11/1/2021,26.5,31.1,23.3,Low,32,,"Elapatha,Ratnapura",1,,32
148988,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001003,Eheliyagoda,8/12/2021,20.5,29.2,23.7,Moderate,151,,"Eheliyagoda,Kuruvita,Ratnapura",22,,151
148750,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001033,Kalawana,7/10/2021,25.7,31,23.7,High,9103,,"Kalawana,Elapatha,Ratnapura,Pelmadulla",95,,9103
148905,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,6/4/2021,37.9,31.2,23.9,Low,4809,,"Ratnapura,Kalawana,Ayagama,Kiriella,Elapatha,Eheliyagoda",422,,4809
148687,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001009,Kiriella,5/25/2021,33.4,29.9,24.2,Low,2921,,"Ratnapura,Elapatha,Pelmadulla,Godakawela,Kahawatta",50,,2921
148209,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001024,Pelmadulla,5/3/2021,31.3,33.2,23,High,457,,"Pelmadulla,Godakawela,Ratnapura,Kahawatta,Nivithigala",98,,457
144828,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001024,Pelmadulla,5/19/2020,37.5,31.1,24.4,High,7287,,"Pelmadulla,Opanayaka,Elapatha,Ratnapura,Kahawatta,Kiriella,Kalawana,Nivithigala,Balangoda,Kuruvita",970,,7287
142894,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,8/30/2019,29.5,30.5,23.2,High,114,,Ratnapura,0,,114
142777,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,8/13/2019,33.7,29.6,23.9,High,2481,,"Ratnapura,Elapatha,Kiriella",13,,2481
142444,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,7/18/2019,21.3,30,23.3,High,839,,"Ratnapura,Pelmadulla",38,,839
140443,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,5/20/2018,51.7,28.7,23.2,High,30270,,"Ratnapura,Elapatha,Kiriella",220,,30270
139234,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001027,Elapatha,9/7/2017,51.2,29,23.5,High,555,,Ratnapura,1,,555
139055,FLOOD,lka009,Sabaragamuwa,lka009001,Ratnapura,lka009001012,Ratnapura,5/26/2017,83.2,29.2,23.2,High,28383,,"Ratnapura,Pelmadulla,Elapatha,Balangoda,Opanayaka,Kolonna,Kahawatta",835,,28383
138921,FLOOD,lka010,Sabaragamuwa,lka009002,Ratnapura,lka009001013,Ratnapura,5/16/2016,48.4,29,24,High,6966,,"Ratnapura,Kiriella,Nivithigala,Godakawela,Elapatha,Kalawana,Opanayaka,Embilipitiya",116,,6966
138921,FLOOD,lka011,Sabaragamuwa,lka009003,Ratnapura,lka009001014,Ratnapura,10/8/2014,41.3,30.4,23.3,Low,80,,"Ratnapura,Elapatha,Nivithigala",13,,80
